,Lab Id,Address,Location,Zipcode
59,L922,"987 MAIN STREET, WEYMOUTH, MA 02190","42.1710988,-70.9577834",2190.0
60,L523,"245 N BROAD ST GROUND FLOOR, PHILADELPHIA, PA 19107
","39.957358,-75.1642512",9107.0
61,L067,"1617 N. CALIFORNIA STREET, STOCKTON, CA 95204","37.9694792,-121.2901678",95204.0
62,L769,"5100 W TAFT RD STE 2L, LIVERPOOL, NY 13088","43.1201376,-76.1627233",13088.0
63,L442,"16259 SYLVESTER RD SW 402, BURIEN, WA 98148","47.4568023,-122.3457174",98148.0
64,L658,"4855 COMMERCIAL DRIVE, NEW HARTFORD, NY 13413","43.0978638,-75.3055966",13413.0
65,L127,"2920 KNIGHT ST STE 108, SHREVEPORT, LA 71105","33.451232,-94.0683805",71105.0
66,L164,"585 DEKALB INDUSTRIAL WAY, DECATUR, GA 30033","33.7943032,-84.2778831",30033.0
67,L704,"2305 CAMINO RAMON STE 110, SAN RAMON, CA 94583","37.7754429,-121.9669886",94583.0
68,L522,"354 WAVERLY STREET, FRAMINGHAM, MA 01702","42.276897,-71.4160299",1702.0
69,L517,"140 W BOYLSTON DR, WORCESTER, MA 01606","42.300344,-71.8038673",1606.0
70,L661,"101 S. DIVISION, STRONGHURST, IL 61480","40.7447179,-90.9114665",61480.0
71,L146,"18151 68TH AVE NE, KENMORE, WA 98028","47.760574,-122.2527338",98028.0
72,L525,"4201 N. BROAD STREET, PHILADELPHIA, PA 19140","40.0173148,-75.1509415",19140.0
73,L768,"605 CEDAR AVENUE, YEADON, PA 19050","39.9213919,-75.2561934",19050.0
74,L063,"3850 46TH AVE SUITE H1, ROCK ISLAND, IL 61201","41.466876,-90.5478657",61201.0
75,L660,"49 RANGE RD STE 101, WINDHAM, NH 03087","42.8075256,-71.2622671",3087.0
76,L670,"91 PERIMETER RD, ROME, NY 13441","43.2272241,-75.4323824",13441.0
77,L697,"29 STOREY AVENUE, NEWBURYPORT, MA 01950","42.8213859,-70.9065276",1950.0
78,L561,"214 NW AVENUE, JACKSON, MI 49201","42.2493985,-84.4259382",49201.0
79,L149,"1990 MONUMENT BLVD, CONCORD, CA 94520","37.9553785,-122.0411404",94520.0
80,L695,"95 GENESEE ST, NEW HARTFORD, NY 13413","43.0731473,-75.2957098",13413.0
81,L139,"8100 TIMBERLAKE WAY STE E, SACRAMENTO, CA 95823","38.4634804,-121.416546",95823.0
82,L666,"173 S MAIN STREET, ALPHARETTA, GA 30009","34.0708467,-84.3000492",30009.0
83,-2,Unavailable,Unavailable,
84,L170,"25 PELHAM RD STE 103A, SALEM, NH 03079","42.775748,-71.2495637",3079.0
85,L123,"543 SOUTH 52ND STREET, PHILADELPHIA, PA 19143","39.9507025,-75.2286725",19143.0
86,L145,"21616 76TH AVE W SUITE 207, EDMONDS, WA 98026","47.8026806,-122.3389483",98026.0
87,L082,"125 INDIAN ROCK ROAD, WINDHAM, NH 03087","42.8073225,-71.2650041",3087.0
88,L157,"1018 MURRIETA BLVD, LIVERMORE, CA 94550","37.6762783,-121.7853993",94550.0
89,L171,"4371 S COBB DRIVE, SMYRNA, GA 30080","33.8473632,-84.5065753",30080.0
90,L131,"1000 E STADIUM, ANN ARBOR, MI 48104","42.2607878,-83.7391191",48104.0
91,L122,"8980 161ST AVE NE 310, REDMOND, WA 98052","47.6821988,-122.1259728",98052.0
92,L165,"16045 1ST AVE SOUTH, BURIEN, WA 98148","47.4585122,-122.3370864",98148.0
93,L162,"245 HARTFORD AVENUE, BELLINGHAM, MA 02019","42.1146632,-71.463432",2019.0
94,L669,"5300 TALLMAN AVE NW, SEATTLE, WA 98107","47.6674625,-122.3817193",98107.0
95,L903,"52 CENTRAL PLAZA, ILION, NY 13357","43.0150099,-75.0398441",13357.0
96,L133,"2220 GLADSTONE DR. SUITE 7, PITTSBURG, CA 94565","38.0070008,-121.868574",94565.0
97,L058,"2715 S FRONT ST UNIT 2, PHILADELPHIA, PA 19148","39.9130589,-75.1518927",19148.0
98,L703,"2301 CAMINO RAMON STE 108, SAN RAMON, CA 94583","37.7762785,-121.9679406",94583.0
99,L664,"479 WASHINGTON STREET 2, QUINCY, MA 02169","42.247582,-70.9842195",2169.0
100,L698,"1229 MADISON ST STE 610, SEATTLE, WA 98104","47.6100869,-122.3243021",98104.0
101,L763,"8100 OSWEGO RD STE 125, LIVERPOOL, NY 13090","43.1636949,-76.2366636",13090.0
102,L066,"81 UPPER RIVERDALE RD SW 140, RIVERDALE, GA 30274","33.5774091,-84.3944193",30274.0
103,L159,"1703 SOUTH BROAD STREET 200, PHILADELPHIA, PA 19148","39.9290428,-75.170544",19148.0
104,L065,"2104 CEDARWOOD DR STE 202, MUSCATINE, IA 52761","41.4352418,-91.0759938",52761.0
105,L540,"1426 TOWNE LAKE PKWY 103, WOODSTOCK, GA 30189","34.1054485,-84.5409941",30189.0
106,L064,"1288 WELLBROOK CIR NE SUITE C, CONYERS, GA 30012","33.677914,-84.00695",30012.0
107,L120,"241 S 6TH ST SUITE 120, PHILADELPHIA, PA 19106","39.9457889,-75.1533585",19106.0
108,L173,"236 COCHITUATE ROAD, FRAMINGHAM, MA 01701","42.3020867,-71.407008",1701.0
109,L161,"1904 GENESEE ST, UTICA, NY 13502","43.0879409,-75.2624454",13502.0
110,L075,"2300 S BROAD ST STE 102, PHILADELPHIA, PA 19145","39.9218172,-75.1730023",19145.0
111,L668,"975 JOHNSON FERRY RD NE 320, ATLANTA, GA 30342","33.9073497,-84.3581189",30342.0
112,L140,"11800 NE 128TH ST 130, KIRKLAND, WA 98034","47.7148568,-122.1866063",98034.0
113,L071,"9633 LEVIN RD NW 202, SILVERDALE, WA 98383","47.6516517,-122.687053",98383.0
114,L886,"1819 MARLTON PIKE W., CHERRY HILL, NJ 08002","39.9184081,-75.035649",8002.0
115,L535,"603 SENECA ST 4, ONEIDA, NY 13421","43.0773695,-75.6536905",13421.0
116,L723,"8052 STATE ROUTE 12, BARNEVELD, NY 13304","43.2530101,-75.1860015",13304.0
117,L163,"3906 LILLIE AVE STE 3, DAVENPORT, IA 52806","41.5611182,-90.5915183",52806.0
118,L967,"2700 GRANT ST. SUITE 107, CONCORD, CA 94520","37.984716,-122.0383645",94520.0
